FAIRBANKS INTL AP
Date	Min Temp (°F)
2013-12-07	15
2013-12-08	20
2013-12-09	26
2013-12-10	0
2013-12-11	-3
2013-12-12	2
2013-12-13	-10
2013-12-14	-2
2013-12-15	-21
2013-12-16	-37
2013-12-17	-25
2013-12-18	-21
2013-12-19	-12
2013-12-20	-6
2013-12-21	-7
2013-12-22	-8
2013-12-23	-15
2013-12-24	-33
2013-12-25	-38
2013-12-26	-41
2013-12-27	-39
2013-12-28	-24
2013-12-29	-16
2013-12-30	-19
2013-12-31	-18
